flight_no.,date_and_time_(utc),"version,_booster[h]",launch_site,payload[i],payload_mass,orbit,customer,launch_outcome,booster_landing,latitude,longitude
278,"December 1, 2023 18:19[196]",F9 B5 B1061‑17,"Vandenberg, SLC‑4E",425 Project satellite[197] EIRSAT-1 and others 23 secondary payloads[198],"~800 kg (1,800 lb) (main satellite)",SSO,Republic of Korea Armed Forces,Success,Success (LZ‑4),34.6328344,-120.6107465
279,"December 3, 2023 04:00[200]",F9 B5 B1078‑6,"Cape Canaveral, SLC‑40",Starlink: Group 6-31 (23 satellites),"~16,800 kg (37,000 lb)",LEO,SpaceX,Success,Success (ASOG),28.5618571,-80.577366
280,"December 7, 2023 05:07[201]",F9 B5 B1077‑9,"Cape Canaveral, SLC‑40",Starlink: Group 6-33 (23 satellites),"~16,800 kg (37,000 lb)",LEO,SpaceX,Success,Success (JRTI),28.5618571,-80.577366
281,"December 8, 2023 08:03[202]",F9 B5 B1071‑13,"Vandenberg, SLC‑4E",Starlink: Group 7-8 (22 satellites),"~16,100 kg (35,500 lb)",LEO,SpaceX,Success,Success (OCISLY),34.6328344,-120.6107465
282,"December 19, 2023 04:01[206]",F9 B5 B1081‑3,"Cape Canaveral, SLC‑40",Starlink: Group 6-34 (23 satellites),"~16,800 kg (37,000 lb)",LEO,SpaceX,Success,Success (ASOG),28.5618571,-80.577366
283,"December 23, 2023 05:33[207]",F9 B5 B1058‑19,"Cape Canaveral, SLC‑40",Starlink: Group 6-32 (23 satellites),"~16,800 kg (37,000 lb)",LEO,SpaceX,Success,Partial failure (JRTI),28.5618571,-80.577366
284,"December 24, 2023 13:11[209]",F9 B5 B1075‑8,"Vandenberg, SLC‑4E",SARah 2 & 3[210],"~3,600 kg (7,900 lb)",SSO,German Intelligence Service,Success,Success (LZ‑4),34.6328344,-120.6107465
FH 9,"December 29, 2023 01:07[212]",Falcon Heavy B5  B1084 (core)[213],"Kennedy, LC‑39A",USSF-52 (Boeing X-37B OTV-7),"6,350 kg (14,000 lb) + OTV payload",High Elliptical HEO[214],Department of the  Air Force Rapid Capabilities Office[215]/USSF,Success,No attempt,28.6080585,-80.6039558
285,"December 29, 2023 04:01[220]",F9 B5 B1069‑12,"Cape Canaveral, SLC‑40",Starlink: Group 6-36 (23 satellites),"~16,800 kg (37,000 lb)",LEO,SpaceX,Success,Success (ASOG),28.5618571,-80.577366
286,"January 3, 2024 03:44[228]",F9 B5 B1082‑1,"Vandenberg, SLC‑4E",Starlink: Group 7-9 (22 satellites),"~16,800 kg (37,000 lb)",LEO,SpaceX,Success,Success (OCISLY),34.6328344,-120.6107465
287,"January 3, 2024 23:04[229]",F9 B5 B1076‑10,"Cape Canaveral, SLC‑40",Ovzon-3,"1,800 kg (4,000 lb)",GTO,Ovzon,Success,Success (LZ‑1),28.5618571,-80.577366
288,"January 7, 2024 22:35[233]",F9 B5 B1067‑16,"Cape Canaveral, SLC‑40",Starlink: Group 6-35 (23 satellites),"~17,100 kg (37,700 lb)",LEO,SpaceX,Success,Success (ASOG),28.5618571,-80.577366
289,"January 14, 2024 08:59[235]",F9 B5 B1061‑18,"Vandenberg, SLC‑4E",Starlink: Group 7-10 (22 satellites),"~16,700 kg (36,800 lb)",LEO,SpaceX,Success,Success (OCISLY),34.6328344,-120.6107465
290,"January 15, 2024 01:52[236]",F9 B5 B1073‑12,"Cape Canaveral, SLC‑40",Starlink: Group 6-37 (23 satellites),"~17,100 kg (37,700 lb)",LEO,SpaceX,Success,Success (ASOG),28.5618571,-80.577366
291,"January 18, 2024 21:49[239]",F9 B5 B1080‑5,"Kennedy, LC‑39A",Ax-3 (Crew Dragon C212.3 Freedom),"~13,000 kg (29,000 lb)",LEO (ISS),Axiom Space,Success,Success (LZ‑1),28.6080585,-80.6039558
292,"January 24, 2024 00:35[242]",F9 B5 B1063‑16,"Vandenberg, SLC‑4E",Starlink: Group 7-11 (22 satellites),"~16,700 kg (36,800 lb)",LEO,SpaceX,Success,Success (OCISLY),34.6328344,-120.6107465
293,"January 29, 2024 01:10[243]",F9 B5 B1062‑18,"Kennedy, LC‑39A",Starlink: Group 6-38 (23 satellites),"~17,100 kg (37,700 lb)",LEO,SpaceX,Success,Success (ASOG),28.6080585,-80.6039558
294,"January 29, 2024 05:57[244]",F9 B5 B1075‑9,"Vandenberg, SLC‑4E",Starlink: Group 7-12 (22 satellites),"~16,700 kg (36,800 lb)",LEO,SpaceX,Success,Success (OCISLY),34.6328344,-120.6107465
295,"January 30, 2024 17:07[245]",F9 B5 B1077‑10,"Cape Canaveral, SLC‑40",CRS NG-20,"3,726 kg (8,214 lb)",LEO (ISS),Northrop Grumman (CRS),Success,Success (LZ‑1),28.5618571,-80.577366
296,"February 8, 2024 06:33[248]",F9 B5 B1081‑4,"Cape Canaveral, SLC‑40",PACE,"1,694 kg (3,735 lb)",SSO,NASA (LSP),Success,Success (LZ‑1),28.5618571,-80.577366
297,"February 10, 2024 00:34[250]",F9 B5 B1071‑14,"Vandenberg, SLC‑4E",Starlink: Group 7-13 (22 satellites),"~16,700 kg (36,800 lb)",LEO,SpaceX,Success,Success (OCISLY),34.6328344,-120.6107465
298,"February 14, 2024 22:30[251]",F9 B5 B1078‑7,"Cape Canaveral, SLC‑40",USSF-124 (6 satellites),Unknown,LEO,USSF / SDA,Success,Success (LZ‑2),28.5618571,-80.577366
299,"February 15, 2024 06:05[253]",F9 B5 B1060‑18,"Kennedy, LC‑39A",IM-1 Nova-C Odysseus lander,"1,931 kg (4,257 lb)",TLI,NASA (CLPS) / Intuitive Machines,Success,Success (LZ‑1),28.6080585,-80.6039558
300,"February 15, 2024 21:34[258]",F9 B5 B1082‑2,"Vandenberg, SLC‑4E",Starlink: Group 7-14 (22 satellites),"~16,700 kg (36,800 lb)",LEO,SpaceX,Success,Success (OCISLY),34.6328344,-120.6107465
301,"February 20, 2024 20:11[260]",F9 B5 B1067‑17,"Cape Canaveral, SLC‑40",Telkomsat HTS 113BT,"4,000 kg (8,800 lb)",GTO,Telkom Indonesia,Success,Success (JRTI),28.5618571,-80.577366
302,"February 23, 2024 04:11[262]",F9 B5 B1061‑19,"Vandenberg, SLC‑4E",Starlink: Group 7-15 (22 satellites),"~16,700 kg (36,800 lb)",LEO,SpaceX,Success,Success (OCISLY),34.6328344,-120.6107465
303,"February 25, 2024 22:06[264]",F9 B5 B1069‑13,"Cape Canaveral, SLC‑40",Starlink: Group 6-39 (24 satellites),"~17,500 kg (38,600 lb)",LEO,SpaceX,Success,Success (ASOG),28.5618571,-80.577366
304,"February 29, 2024 15:30[266]",F9 B5 B1076‑11,"Cape Canaveral, SLC‑40",Starlink: Group 6-40 (23 satellites),"~17,100 kg (37,700 lb)",LEO,SpaceX,Success,Success (JRTI),28.5618571,-80.577366
305,"March 4, 2024 03:53[267]",F9 B5 B1083‑1,"Kennedy, LC‑39A",Crew-8 (Crew Dragon C206.5 Endeavour),"~13,000 kg (29,000 lb)",LEO (ISS),NASA (CTS),Success,Success (LZ‑1),28.6080585,-80.6039558
306,"March 4, 2024 22:05[269]",F9 B5 B1081‑5,"Vandenberg, SLC‑4E",Transporter-10 (53 payload smallsat rideshare),Unknown[j],SSO,Various,Success,Success (LZ‑4),34.6328344,-120.6107465
307,"March 4, 2024 23:56[272]",F9 B5 B1073‑13,"Cape Canaveral, SLC‑40",Starlink: Group 6-41 (23 satellites),"~17,100 kg (37,700 lb)",LEO,SpaceX,Success,Success (ASOG),28.5618571,-80.577366
308,"March 10, 2024 23:05[274]",F9 B5 B1077‑11,"Cape Canaveral, SLC‑40",Starlink: Group 6-43 (23 satellites),"~17,100 kg (37,700 lb)",LEO,SpaceX,Success,Success (JRTI),28.5618571,-80.577366
309,"March 11, 2024 04:09[275]",F9 B5 B1063‑17,"Vandenberg, SLC‑4E",Starlink: Group 7-17 (23 satellites),"~17,100 kg (37,700 lb)",LEO,SpaceX,Success,Success (OCISLY),34.6328344,-120.6107465
310,"March 16, 2024 00:21[276]",F9 B5 B1062‑19,"Kennedy, LC‑39A",Starlink: Group 6-44 (23 satellites),"~17,100 kg (37,700 lb)",LEO,SpaceX,Success,Success (ASOG),28.6080585,-80.6039558
311,"March 19, 2024 02:28[277]",F9 B5 B1075‑10,"Vandenberg, SLC‑4E",Starlink: Group 7-16 (20 satellites) + 2 Starshield satellites,"~16,300 kg (35,900 lb) (Starlink)",LEO,SpaceX,Success,Success (OCISLY),34.6328344,-120.6107465
312,"March 21, 2024 20:55[280]",F9 B5 B1080‑6,"Cape Canaveral, SLC‑40",SpaceX CRS-30 (Dragon C209.4),"2,721 kg (5,999 lb)",LEO (ISS),NASA (CRS),Success,Success (LZ‑1),28.5618571,-80.577366
313,"March 24, 2024 03:09[282]",F9 B5 B1060‑19,"Kennedy, LC‑39A",Starlink: Group 6-42 (23 satellites),"~17,100 kg (37,700 lb)",LEO,SpaceX,Success,Success (JRTI),28.6080585,-80.6039558
314,"March 25, 2024 23:42[283]",F9 B5 B1078‑8,"Cape Canaveral, SLC‑40",Starlink: Group 6-46 (23 satellites),"~17,100 kg (37,700 lb)",LEO,SpaceX,Success,Success (ASOG),28.5618571,-80.577366
315,"March 30, 2024 21:52[285]",F9 B5 B1076‑12,"Kennedy, LC‑39A",Eutelsat 36D,"5,000 kg (11,000 lb)",GTO,Eutelsat,Success,Success (JRTI),28.6080585,-80.6039558
316,"March 31, 2024 01:30[286]",F9 B5 B1067‑18,"Cape Canaveral, SLC‑40",Starlink: Group 6-45 (23 satellites),"~17,100 kg (37,700 lb)",LEO,SpaceX,Success,Success (ASOG),28.5618571,-80.577366
317,"April 2, 2024 02:30[287]",F9 B5 B1071‑15,"Vandenberg, SLC‑4E",Starlink: Group 7-18 (22 satellites),"~16,700 kg (36,800 lb)",LEO,SpaceX,Success,Success (OCISLY),34.6328344,-120.6107465
318,"April 5, 2024 09:12[288]",F9 B5 B1069‑14,"Cape Canaveral, SLC‑40",Starlink: Group 6-47 (23 satellites),"~17,100 kg (37,700 lb)",LEO,SpaceX,Success,Success (ASOG),28.5618571,-80.577366
319,"April 7, 2024 02:25[289]",F9 B5 B1081‑6,"Vandenberg, SLC‑4E",Starlink: Group 8-1 (21 satellites),"~16,800 kg (37,000 lb)",LEO,SpaceX,Success,Success (OCISLY),34.6328344,-120.6107465
320,"April 7, 2024 23:16[290]",F9 B5 B1073‑14,"Kennedy, LC‑39A",Bandwagon-1 (11 payload smallsat rideshare),Unknown[j],LEO,Various,Success,Success (LZ‑1),28.6080585,-80.6039558
321,"April 10, 2024 05:40[292]",F9 B5 B1083‑2,"Cape Canaveral, SLC‑40",Starlink: Group 6-48 (23 satellites),"~17,100 kg (37,700 lb)",LEO,SpaceX,Success,Success (JRTI),28.5618571,-80.577366
322,"April 11, 2024 14:25[293]",F9 B5 B1082‑3,"Vandenberg, SLC‑4E",USSF-62 (WSF-M 1),"1,200 kg (2,600 lb)",SSO,USSF,Success,Success (LZ‑4),34.6328344,-120.6107465
323,"April 13, 2024 01:40[295]",F9 B5 B1062‑20,"Cape Canaveral, SLC‑40",Starlink: Group 6-49 (23 satellites),"~17,100 kg (37,700 lb)",LEO,SpaceX,Success,Success (ASOG),28.5618571,-80.577366
324,"April 17, 2024 21:26[296]",F9 B5 B1077‑12,"Kennedy, LC‑39A",Starlink: Group 6-51 (23 satellites),"~17,100 kg (37,700 lb)",LEO,SpaceX,Success,Success (JRTI),28.6080585,-80.6039558
325,"April 18, 2024 22:40[297]",F9 B5 B1080‑7,"Cape Canaveral, SLC‑40",Starlink: Group 6-52 (23 satellites),"~17,100 kg (37,700 lb)",LEO,SpaceX,Success,Success (ASOG),28.5618571,-80.577366
326,"April 23, 2024 22:17[298]",F9 B5 B1078‑9,"Cape Canaveral, SLC‑40",Starlink: Group 6-53 (23 satellites),"~17,100 kg (37,700 lb)",LEO,SpaceX,Success,Success (JRTI),28.5618571,-80.577366
327,"April 28, 2024 00:34[300]",F9 B5 B1060‑20,"Kennedy, LC‑39A",Galileo-L12 (FOC FM25 & FM27),"1,600 kg (3,500 lb)",MEO,ESA,Success,No attempt,28.6080585,-80.6039558
328,"April 28, 2024 22:08[301]",F9 B5 B1076‑13,"Cape Canaveral, SLC‑40",Starlink: Group 6-54 (23 satellites),"~17,100 kg (37,700 lb)",LEO,SpaceX,Success,Success (JRTI),28.5618571,-80.577366
329,"May 2, 2024 18:36[302]",F9 B5 B1061‑20,"Vandenberg, SLC‑4E",WorldView Legion 1 & 2,"1,500 kg (3,300 lb)",SSO,Maxar Technologies,Success,Success (LZ‑4),34.6328344,-120.6107465
330,"May 3, 2024 02:37[304]",F9 B5 B1067‑19,"Cape Canaveral, SLC‑40",Starlink: Group 6-55 (23 satellites),"~17,100 kg (37,700 lb)",LEO,SpaceX,Success,Success (ASOG),28.5618571,-80.577366
331,"May 6, 2024 18:14[305]",F9 B5 B1069‑15,"Cape Canaveral, SLC‑40",Starlink: Group 6-57 (23 satellites),"~17,100 kg (37,700 lb)",LEO,SpaceX,Success,Success (JRTI),28.5618571,-80.577366
332,"May 8, 2024 18:42[306]",F9 B5 B1083‑3,"Kennedy, LC‑39A",Starlink: Group 6-56 (23 satellites),"~17,100 kg (37,700 lb)",LEO,SpaceX,Success,Success (ASOG),28.6080585,-80.6039558
333,"May 10, 2024 04:30[307]",F9 B5 B1082‑4,"Vandenberg, SLC‑4E",Starlink: Group 8-2 (20 satellites),"~16,300 kg (35,900 lb)",LEO,SpaceX,Success,Success (OCISLY),34.6328344,-120.6107465
334,"May 13, 2024 00:53[308]",F9 B5 B1073‑15,"Cape Canaveral, SLC‑40",Starlink: Group 6-58 (23 satellites),"~17,100 kg (37,700 lb)",LEO,SpaceX,Success,Success (ASOG),28.5618571,-80.577366
335,"May 14, 2024 18:39[309]",F9 B5 B1063‑18,"Vandenberg, SLC‑4E",Starlink: Group 8-7 (20 satellites),"~16,300 kg (35,900 lb)",LEO,SpaceX,Success,Success (OCISLY),34.6328344,-120.6107465
336,"May 18, 2024 00:32[310]",F9 B5 B1062‑21,"Cape Canaveral, SLC‑40",Starlink: Group 6-59 (23 satellites),"~17,100 kg (37,700 lb)",LEO,SpaceX,Success,Success (ASOG),28.5618571,-80.577366
337,"May 22, 2024 08:00[311]",F9 B5 B1071‑16,"Vandenberg, SLC‑4E",NROL-146 (21 Starshield satellites),Unknown,SSO,Northrop Grumman/NRO,Success,Success (OCISLY),34.6328344,-120.6107465
338,"May 23, 2024 02:35[314]",F9 B5 B1080‑8,"Cape Canaveral, SLC‑40",Starlink: Group 6-62 (23 satellites),"~17,100 kg (37,700 lb)",LEO,SpaceX,Success,Success (ASOG),28.5618571,-80.577366
339,"May 24, 2024 02:45[315]",F9 B5 B1077‑13,"Kennedy, LC‑39A",Starlink: Group 6-63 (23 satellites),"~17,100 kg (37,700 lb)",LEO,SpaceX,Success,Success (JRTI),28.6080585,-80.6039558
340,"May 28, 2024 14:24[316]",F9 B5 B1078‑10,"Cape Canaveral, SLC‑40",Starlink: Group 6-60 (23 satellites),"~17,100 kg (37,700 lb)",LEO,SpaceX,Success,Success (ASOG),28.5618571,-80.577366
341,"May 28, 2024 22:20[317]",F9 B5 B1081‑7,"Vandenberg, SLC‑4E",EarthCARE,"2,350 kg (5,180 lb)",SSO,ESA,Success,Success (LZ‑4),34.6328344,-120.6107465
342,"June 1, 2024 02:37[319]",F9 B5 B1076‑14,"Cape Canaveral, SLC‑40",Starlink: Group 6-64 (23 satellites),"~17,100 kg (37,700 lb)",LEO,SpaceX,Success,Success (ASOG),28.5618571,-80.577366
343,"June 5, 2024 02:16[321]",F9 B5 B1067‑20,"Cape Canaveral, SLC‑40",Starlink: Group 8-5 (23 satellites),"~16,300 kg (35,900 lb)",LEO,SpaceX,Success,Success (JRTI),28.5618571,-80.577366
344,"June 8, 2024 01:56[322]",F9 B5 B1069‑16,"Cape Canaveral, SLC‑40",Starlink: Group 10-1 (22 satellites),"~16,700 kg (36,800 lb)",LEO,SpaceX,Success,Success (ASOG),28.5618571,-80.577366
345,"June 8, 2024 12:58[323]",F9 B5 B1061‑21,"Vandenberg, SLC‑4E",Starlink: Group 8-8 (20 satellites),"~16,300 kg (35,900 lb)",LEO,SpaceX,Success,Success (OCISLY),34.6328344,-120.6107465
346,"June 19, 2024 03:40[324]",F9 B5 B1082‑5,"Vandenberg, SLC‑4E",Starlink: Group 9-1 (20 satellites),"~16,300 kg (35,900 lb)",LEO,SpaceX,Success,Success (OCISLY),34.6328344,-120.6107465
347,"June 20, 2024 21:35[325]",F9 B5 B1080‑9,"Cape Canaveral, SLC‑40",Astra 1P,"5,000 kg (11,000 lb)",GTO,SES,Success,Success (JRTI),28.5618571,-80.577366
348,"June 23, 2024 17:15[326]",F9 B5 B1078‑11,"Cape Canaveral, SLC‑40",Starlink: Group 10-2 (22 satellites),"~16,700 kg (36,800 lb)",LEO,SpaceX,Success,Success (ASOG),28.5618571,-80.577366
349,"June 24, 2024 03:47[328]",F9 B5 B1075‑11,"Vandenberg, SLC‑4E",Starlink: Group 9-2 (20 satellites),"~16,300 kg (35,900 lb)",LEO,SpaceX,Success,Success (OCISLY),34.6328344,-120.6107465
FH 10,"June 25, 2024 21:26[329]",Falcon Heavy B5 B1087 (core),"Kennedy, LC‑39A",GOES-U (GOES-19)[330],"5,000 kg (11,000 lb)",GTO,NOAA,Success,No attempt,28.6080585,-80.6039558
350,"June 27, 2024 11:14[332]",F9 B5 B1062‑22,"Cape Canaveral, SLC‑40",Starlink: Group 10-3 (23 satellites),"~17,100 kg (37,700 lb)",LEO,SpaceX,Success,Success (JRTI),28.5618571,-80.577366
351,"June 29, 2024 03:14[333]",F9 B5 B1081‑8,"Vandenberg, SLC‑4E",NROL-186 (~21 Starshield satellites),Unknown,SSO,NRO,Success,Success (OCISLY),34.6328344,-120.6107465
352,"July 3, 2024 08:55[334]",F9 B5 B1073‑16,"Cape Canaveral, SLC‑40",Starlink: Group 8-9 (20 satellites),"~16,300 kg (35,900 lb)",LEO,SpaceX,Success,Success (ASOG),28.5618571,-80.577366
353,"July 8, 2024 23:30[335]",F9 B5 B1076‑15,"Cape Canaveral, SLC‑40",Türksat 6A,"4,250 kg (9,370 lb)",GTO,Türksat,Success,Success (JRTI),28.5618571,-80.577366
354,"July 12, 2024 02:35[337]",F9 B5 B1063‑19,"Vandenberg, SLC‑4E",Starlink: Group 9-3 (20 satellites),"~16,300 kg (35,900 lb)",LEO,SpaceX,Failure,Success (OCISLY),34.6328344,-120.6107465
355,"July 27, 2024 05:45[345]",F9 B5 B1069‑17,"Kennedy, LC‑39A",Starlink: Group 10-9 (23 satellites),"~17,100 kg (37,700 lb)",LEO,SpaceX,Success,Success (JRTI),28.6080585,-80.6039558
356,"July 28, 2024 05:09[346]",F9 B5 B1077‑14,"Cape Canaveral, SLC‑40",Starlink: Group 10-4 (23 satellites),"~17,100 kg (37,700 lb)",LEO,SpaceX,Success,Success (ASOG),28.5618571,-80.577366
357,"July 28, 2024 09:22[346]",F9 B5 B1071‑17,"Vandenberg, SLC‑4E",Starlink: Group 9-4 (21 satellites),"~16,500 kg (36,400 lb)",LEO,SpaceX,Success,Success (OCISLY),34.6328344,-120.6107465
358,"August 2, 2024 05:01[347]",F9 B5 B1078‑12,"Kennedy, LC‑39A",Starlink: Group 10-6 (23 satellites),"~17,100 kg (37,700 lb)",LEO,SpaceX,Success,Success (ASOG),28.6080585,-80.6039558
359,"August 4, 2024 07:24[348]",F9 B5 B1082‑6,"Vandenberg, SLC‑4E",Starlink: Group 11-1 (23 satellites),"~17,100 kg (37,700 lb)",LEO,SpaceX,Success,Success (OCISLY),34.6328344,-120.6107465
360,"August 4, 2024 15:02[349]",F9 B5 B1080‑10,"Cape Canaveral, SLC‑40",CRS NG-21,"3,857 kg (8,503 lb)",LEO (ISS),Northrop Grumman (CRS),Success,Success (LZ‑1),28.5618571,-80.577366
361,"August 10, 2024 12:50[350]",F9 B5 B1067‑21,"Cape Canaveral, SLC‑40",Starlink: Group 8-3 (21 satellites),"~16,500 kg (36,400 lb)",LEO,SpaceX,Success,Success (JRTI),28.5618571,-80.577366
362,"August 12, 2024 02:02[351]",F9 B5 B1061‑22,"Vandenberg, SLC‑4E",ASBM 1 (GX 10A) & ASBM 2 (GX 10B),"~7,230 kg (15,940 lb)[352]",Molniya,Space Norway,Success,Success (OCISLY),34.6328344,-120.6107465
363,"August 12, 2024 10:37[357]",F9 B5 B1073‑17,"Kennedy, LC‑39A",Starlink: Group 10-7 (23 satellites),"~17,100 kg (37,700 lb)",LEO,SpaceX,Success,Success (ASOG),28.6080585,-80.6039558
364,"August 15, 2024 13:00[358]",F9 B5 B1076‑16,"Cape Canaveral, SLC‑40",WorldView Legion 3 & 4,"1,500 kg (3,300 lb)",LEO,Maxar Technologies,Success,Success (LZ‑1),28.5618571,-80.577366
366,"August 20, 2024 13:20[361]",F9 B5 B1085‑1,"Cape Canaveral, SLC‑40",Starlink: Group 10-5 (23 satellites),"~16,700 kg (36,800 lb)",LEO,SpaceX,Success,Success (ASOG),28.5618571,-80.577366
367,"August 28, 2024 07:48[362]",F9 B5 B1062‑23,"Cape Canaveral, SLC‑40",Starlink: Group 8-6 (21 satellites),"~16,700 kg (36,800 lb)",LEO,SpaceX,Success,Failure (ASOG),28.5618571,-80.577366
368,"August 31, 2024 07:43[366]",F9 B5 B1069‑18,"Cape Canaveral, SLC‑40",Starlink: Group 8-10 (21 satellites),"~16,700 kg (36,800 lb)",LEO,SpaceX,Success,Success (JRTI),28.5618571,-80.577366
370,"September 5, 2024 15:33[368]",F9 B5 B1077‑15,"Cape Canaveral, SLC‑40",Starlink: Group 8-11 (21 satellites),"~16,700 kg (36,800 lb)",LEO,SpaceX,Success,Success (JRTI),28.5618571,-80.577366
371,"September 6, 2024 03:20[369]",F9 B5 B1063‑20,"Vandenberg, SLC‑4E",NROL-113 (21 Starshield satellites),Unknown,LEO,NRO,Success,Success (OCISLY),34.6328344,-120.6107465
372,"September 10, 2024 09:23[370]",F9 B5 B1083‑4,"Kennedy, LC‑39A",Polaris Dawn (Crew Dragon C207.3 Resilience),"~13,000 kg (29,000 lb)",LEO,Polaris Program,Success,Success (JRTI),28.6080585,-80.6039558
373,"September 12, 2024 08:52[374]",F9 B5 B1078‑13,"Cape Canaveral, SLC‑40",BlueBird Block 1 (5 satellites)[375],"7,500 kg (16,500 lb)",LEO,AST SpaceMobile,Success,Success (LZ‑1),28.5618571,-80.577366
375,"September 17, 2024 22:50[377]",F9 B5 B1067‑22,"Cape Canaveral, SLC‑40",Galileo-L13 (FOC FM26 & FM32),"1,600 kg (3,500 lb)",MEO,ESA,Success,Success (JRTI),28.5618571,-80.577366
378,"September 28, 2024 17:17[381]",F9 B5 B1085‑2,"Cape Canaveral, SLC‑40",Crew-9 (Crew Dragon C212.4 Freedom),"~13,000 kg (29,000 lb)",LEO (ISS),NASA (CTS)[71],Success,Success (LZ‑1),28.5618571,-80.577366
379,"October 7, 2024 14:52[388]",F9 B5 B1061‑23,"Cape Canaveral, SLC‑40",Hera,"1,108 kg (2,443 lb)",Heliocentric,ESA,Success,No attempt,28.5618571,-80.577366
FH 11,"October 14, 2024 16:06[390]",Falcon Heavy B5  B1089 (core),"Kennedy, LC‑39A",Europa Clipper,"6,065 kg (13,371 lb)",Heliocentric,NASA,Success,No attempt,28.6080585,-80.6039558
380,"October 15, 2024 06:10[397]",F9 B5 B1080‑11,"Cape Canaveral, SLC‑40",Starlink: Group 10-10 (23 satellites),"~17,100 kg (37,700 lb)",LEO,SpaceX,Success,Success (ASOG),28.5618571,-80.577366
382,"October 18, 2024 23:31[399]",F9 B5 B1076‑17,"Cape Canaveral, SLC‑40",Starlink: Group 8-19 (20 satellites),"~16,300 kg (35,900 lb)",LEO,SpaceX,Success,Success (JRTI),28.5618571,-80.577366
384,"October 23, 2024 21:47[401]",F9 B5 B1073‑18,"Cape Canaveral, SLC‑40",Starlink: Group 6-61 (23 satellites),"~17,100 kg (37,700 lb)",LEO,SpaceX,Success,Success (ASOG),28.5618571,-80.577366
386,"October 26, 2024 21:47[403]",F9 B5 B1069‑19,"Cape Canaveral, SLC‑40",Starlink: Group 10-8 (22 satellites),"~16,700 kg (36,800 lb)",LEO,SpaceX,Success,Success (JRTI),28.5618571,-80.577366
388,"October 30, 2024 21:10[405]",F9 B5 B1078‑14,"Cape Canaveral, SLC‑40",Starlink: Group 10-13 (23 satellites),"~17,100 kg (37,700 lb)",LEO,SpaceX,Success,Success (ASOG),28.5618571,-80.577366
389,"November 5, 2024 02:29[406]",F9 B5 B1083‑5,"Kennedy, LC‑39A",SpaceX CRS-31 (Cargo Dragon C208.5),"2,762 kg (6,089 lb)",LEO (ISS),NASA (CRS),Success,Success (LZ‑1),28.6080585,-80.6039558
390,"November 7, 2024 20:19[409]",F9 B5 B1085‑3,"Cape Canaveral, SLC‑40",Starlink: Group 6-77 (23 satellites),"~17,100 kg (37,700 lb)",LEO,SpaceX,Success,Success (JRTI),28.5618571,-80.577366
392,11 November 2024 17:22[411],F9 B5 B1067‑23,"Kennedy, LC‑39A",Koreasat 6A,"3,900 kg (8,600 lb)",GTO,KT Sat,Success,Success (LZ‑1),28.6080585,-80.6039558
393,"November 11, 2024 21:28[414]",F9 B5 B1080‑12,"Cape Canaveral, SLC‑40",Starlink: Group 6-69 (24 satellites),"~17,500 kg (38,600 lb)",LEO,SpaceX,Success,Success (ASOG),28.5618571,-80.577366
395,"November 14, 2024 13:21[416]",F9 B5 B1076‑18,"Cape Canaveral, SLC‑40",Starlink: Group 6-68 (24 satellites),"~17,500 kg (38,600 lb)",LEO,SpaceX,Success,Success (JRTI),28.5618571,-80.577366
396,"November 17, 2024 22:28[417]",F9 B5 B1077‑16,"Kennedy, LC‑39A",Optus-X/TD7,"~4,000 kg (8,800 lb)[418]",GTO,Optus,Success,Success (ASOG),28.6080585,-80.6039558
398,"November 18, 2024 18:31[420]",F9 B5 B1073‑19,"Cape Canaveral, SLC‑40",GSAT-20 (GSAT-N2),"4,700 kg (10,400 lb)",GTO,New Space India Limited Dish TV,Success,Success (JRTI),28.5618571,-80.577366
399,"November 21, 2024 16:07[422]",F9 B5 B1069‑20,"Cape Canaveral, SLC‑40",Starlink: Group 6-66 (24 satellites),"~17,500 kg (38,600 lb)",LEO,SpaceX,Success,Success (ASOG),28.5618571,-80.577366
401,"November 25, 2024 10:02[424]",F9 B5 B1080‑13,"Cape Canaveral, SLC‑40",Starlink: Group 12-1 (23 satellites),"~17,100 kg (37,700 lb)",LEO,SpaceX,Success,Success (JRTI),28.5618571,-80.577366
402,"November 27, 2024 04:41[426]",F9 B5 B1078‑15,"Kennedy, LC‑39A",Starlink: Group 6-76 (24 satellites),"~17,500 kg (38,600 lb)",LEO,SpaceX,Success,Success (ASOG),28.6080585,-80.6039558
403,"November 30, 2024 05:00[427]",F9 B5 B1083‑6,"Cape Canaveral, SLC‑40",Starlink: Group 6-65 (24 satellites),"~17,500 kg (38,600 lb)",LEO,SpaceX,Success,Success (JRTI),28.5618571,-80.577366
405,"December 4, 2024 10:13[430]",F9 B5 B1067‑24,"Cape Canaveral, SLC‑40",Starlink: Group 6-70 (24 satellites),"~17,500 kg (38,600 lb)",LEO,SpaceX,Success,Success (ASOG),28.5618571,-80.577366
407,"December 5, 2024 16:10[432]",F9 B5 B1076‑19,"Kennedy, LC‑39A",SXM-9,"7,000 kg (15,000 lb)",GTO,Sirius XM,Success,Success (JRTI),28.6080585,-80.6039558
408,"December 8, 2024 05:12[435]",F9 B5 B1086‑2,"Cape Canaveral, SLC‑40",Starlink: Group 12-5 (23 satellites),"~17,100 kg (37,700 lb)",LEO,SpaceX,Success,Success (ASOG),28.5618571,-80.577366
